Ward #,Ward Name,Constituency,Complaints,Constituency Level,Complaint Count
134,Bapuji Nagar,VIJAYA NAGAR,27,,
139,K R Market,CHAMARAJPET,25,,
152,Suddagunte Palya,B.T.M. LAYOUT,25,,
68,Mahalakshmipura,MAHALAXMI LAYOUT,24,,
44,Marappana Palya,MAHALAXMI LAYOUT,23,,
128,Nagarabhavi,GOVINDRAJA NAGAR,23,,
175,Bommanahalli,BOMMANAHALLI,23,,
95,Subhash Nagar,GANDHI NAGAR,22,,
123,Vijayanagara,VIJAYA NAGAR,22,,
131,Nayandahalli,GOVINDRAJA NAGAR,22,,
177,J P Nagar,JAYANAGAR,22,,
124,Hosahalli,VIJAYA NAGAR,21,,
40,Dodda Bidarakallu,YESHVANTHAPURA,20,,
47,Devara Jeevanahalli,PULAKESHI NAGAR (SC),19,,
143,Vishveshwara Puram,CHICKPET,19,,
170,Jayanagar East,JAYANAGAR,19,,
171,Gurappanapalya,JAYANAGAR,19,,
122,Kempapura Agrahara,VIJAYA NAGAR,18,,
126,Maruthi Mandira Ward,GOVINDRAJA NAGAR,17,,
144,Siddapura,CHICKPET,17,,
186,Jaraganahalli,BOMMANAHALLI,17,,
127,Mudalapalya,GOVINDRAJA NAGAR,16,,
145,Hombegowda Nagar,CHICKPET,16,,
148,Ejipura,B.T.M. LAYOUT,16,,
69,Laggere,RAJARAJESHWARI NAGAR,15,,
29,Kacharkanahalli,SARVARGNA NAGAR,14,,
118,Sudham Nagar,CHICKPET,14,,
119,Dharmaraya Swamy Temple,CHICKPET,14,,
45,Malleswaram,MALLESWARAM,13,,
151,Koramangala,B.T.M. LAYOUT,13,,
153,Jayanagara,CHICKPET,13,,
179,Shakambari Nagar,JAYANAGAR,12,,
55,Devasandra,K.R.PURA,11,,
103,Kaveripura,GOVINDRAJA NAGAR,11,,
173,Jakkasandra,B.T.M. LAYOUT,11,,
116,Nilasandra,SHANTI NAGAR,10,,
147,Adugodi,B.T.M. LAYOUT,10,,
43,Nandini Layout,MAHALAXMI LAYOUT,9,,
94,Gandhinagar,GANDHI NAGAR,9,,
125,Marenahalli,GOVINDRAJA NAGAR,9,,
178,Sarakki,JAYANAGAR,7,,
30,Kadugondanahalli,SARVARGNA NAGAR,5,,
169,Byrasandra,JAYANAGAR,5,,
92,Shivaji Nagar,SHIVAJI NAGAR,3,,
167,Yediyur,PADMANABA NAGAR,3,,
104,Govindarajanagara,GOVINDRAJA NAGAR,1,,
